ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",2,"Black",26525,9244,"Census Tract 25, New York County, NY","14000US36061002500"
2017,"2017",2,"Black",12760,2958,"Census Tract 26.01, New York County, NY","14000US36061002601"
2017,"2017",2,"Black",17404,7353.999999999999,"Census Tract 26.02, New York County, NY","14000US36061002602"
2017,"2017",2,"Black",40296,30987,"Census Tract 28, New York County, NY","14000US36061002800"
2017,"2017",2,"Black",163269,141602,"Census Tract 31, New York County, NY","14000US36061003100"
2017,"2017",2,"Black",2499,,"Census Tract 34, New York County, NY","14000US36061003400"
2017,"2017",2,"Black",250001,,"Census Tract 49, New York County, NY","14000US36061004900"
2017,"2017",2,"Black",8487,624,"Census Tract 56, New York County, NY","14000US36061005600"
2017,"2017",2,"Black",130428,61342.00000000001,"Census Tract 57, New York County, NY","14000US36061005700"
2017,"2017",2,"Black",132350,55479,"Census Tract 60, New York County, NY","14000US36061006000"
2017,"2017",2,"Black",78231,45449,"Census Tract 64, New York County, NY","14000US36061006400"
2017,"2017",2,"Black",195271,37793,"Census Tract 70, New York County, NY","14000US36061007000"
2017,"2017",2,"Black",100933,76865,"Census Tract 78, New York County, NY","14000US36061007800"
2017,"2017",2,"Black",31959,2615,"Census Tract 83, New York County, NY","14000US36061008300"
2017,"2017",2,"Black",133190,73657,"Census Tract 84, New York County, NY","14000US36061008400"
2017,"2017",2,"Black",88380,80679,"Census Tract 88, New York County, NY","14000US36061008800"
2017,"2017",2,"Black",11708,10849,"Census Tract 91, New York County, NY","14000US36061009100"
2017,"2017",2,"Black",41667,15906,"Census Tract 99, New York County, NY","14000US36061009900"
2017,"2017",2,"Black",37917,5882,"Census Tract 101, New York County, NY","14000US36061010100"
2017,"2017",2,"Black",49250,30836,"Census Tract 103, New York County, NY","14000US36061010300"
2017,"2017",2,"Black",40962,10953,"Census Tract 115, New York County, NY","14000US36061011500"
2017,"2017",2,"Black",36047,21616,"Census Tract 116, New York County, NY","14000US36061011600"
2017,"2017",2,"Black",130969,84732,"Census Tract 117, New York County, NY","14000US36061011700"
2017,"2017",2,"Black",18977,4747,"Census Tract 119, New York County, NY","14000US36061011900"
2017,"2017",2,"Black",30790,8256,"Census Tract 121, New York County, NY","14000US36061012100"
2017,"2017",2,"Black",126014,41455,"Census Tract 124, New York County, NY","14000US36061012400"
2017,"2017",2,"Black",76136,27524,"Census Tract 127, New York County, NY","14000US36061012700"
2017,"2017",2,"Black",15982,6120,"Census Tract 131, New York County, NY","14000US36061013100"
2017,"2017",2,"Black",21542,782,"Census Tract 139, New York County, NY","14000US36061013900"
2017,"2017",2,"Black",157966,74529,"Census Tract 144.02, New York County, NY","14000US36061014402"
2017,"2017",2,"Black",40233,23709,"Census Tract 151, New York County, NY","14000US36061015100"
2017,"2017",2,"Black",30417,23903,"Census Tract 152, New York County, NY","14000US36061015200"
2017,"2017",2,"Black",51875,46238,"Census Tract 156.01, New York County, NY","14000US36061015601"
2017,"2017",2,"Black",20750,18351,"Census Tract 156.02, New York County, NY","14000US36061015602"
2017,"2017",2,"Black",157500,137474,"Census Tract 158.02, New York County, NY","14000US36061015802"
2017,"2017",2,"Black",18699,6123,"Census Tract 161, New York County, NY","14000US36061016100"
2017,"2017",2,"Black",34059,6229,"Census Tract 162, New York County, NY","14000US36061016200"
2017,"2017",2,"Black",23704,18341,"Census Tract 163, New York County, NY","14000US36061016300"
2017,"2017",2,"Black",20509,11895,"Census Tract 164, New York County, NY","14000US36061016400"
2017,"2017",2,"Black",20800,13333,"Census Tract 166, New York County, NY","14000US36061016600"
2017,"2017",2,"Black",73333,43656,"Census Tract 167, New York County, NY","14000US36061016700"
2017,"2017",2,"Black",28786,12533,"Census Tract 170, New York County, NY","14000US36061017000"
2017,"2017",2,"Black",43051,14226,"Census Tract 172, New York County, NY","14000US36061017200"
2017,"2017",2,"Black",31268,23046,"Census Tract 173, New York County, NY","14000US36061017300"
